City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.14,85,100,15.4,SH,1693047401
1,thompson,55.7435,-97.8558,7.09,93,0,1.54,CA,1693047226
2,adamstown,-25.066,-130.1015,18.69,64,82,6.82,PN,1693047167
3,bredasdorp,-34.5322,20.0403,13.48,49,66,6.63,ZA,1693047414
4,albany,42.6001,-73.9662,19.77,94,49,2.07,US,1693047211
5,puerto ayora,-0.7393,-90.3518,23.64,96,26,2.24,EC,1693047171
6,anadyr,64.75,177.4833,2.28,93,20,3.0,RU,1693047223
7,kapuskasing,49.4169,-82.4331,7.05,87,100,1.54,CA,1693047447
8,dalandzadgad,43.5708,104.425,24.78,19,100,1.96,MN,1693047496
9,bardai,11.65,7.2333,29.3,57,66,3.59,NG,1693047472
10,bethel,41.3712,-73.414,22.2,89,100,0.0,US,1693047417
11,ushuaia,-54.8,-68.3,1.81,87,20,3.6,AR,1693047176
12,san patricio,28.017,-97.5169,28.24,85,3,0.46,US,1693047434
13,leh,34.1667,77.5833,20.33,27,98,3.29,IN,1693047869
14,invercargill,-46.4,168.35,6.68,91,98,4.92,NZ,1693047420
15,port-aux-francais,-49.35,70.2167,3.58,74,38,8.7,TF,1693047393
16,ilulissat,69.2167,-51.1,4.52,65,100,4.47,GL,1693047392
17,santa marta de ortigueira,43.6833,-7.85,18.47,82,65,1.79,ES,1693047870
18,iqaluit,63.7506,-68.5145,4.85,86,100,5.81,CA,1693047433
19,tsaratanana,-16.7833,47.65,29.94,39,11,5.94,MG,1693047871
20,shadegan,30.6497,48.6647,47.24,5,0,6.41,IR,1693047871
21,waitangi,-43.9535,-176.5597,8.79,79,100,0.89,NZ,1693047427
22,badger,64.8,-147.5333,13.78,89,100,1.6,US,1693047443
23,west island,-12.1568,96.8225,26.99,74,40,7.2,CC,1693047192
24,houlton,46.1262,-67.8403,17.23,95,100,0.0,US,1693047873
25,grytviken,-54.2811,-36.5092,-5.29,74,72,10.0,GS,1693047397
26,udachny,66.4167,112.4,24.14,33,6,4.6,RU,1693047508
27,orkney,-26.9802,26.6727,16.28,17,10,4.56,ZA,1693047874
28,atafu village,-8.5421,-172.5159,27.86,80,100,4.9,TK,1693047167
29,camden,39.7835,-74.9663,23.14,96,49,0.45,US,1693047875
30,shizunai-furukawacho,42.3339,142.3669,24.07,95,29,3.53,JP,1693047753
31,margaret river,-33.95,115.0667,14.87,82,76,2.53,AU,1693047652
32,saipan,15.1355,145.701,27.03,100,99,2.68,MP,1693047459
33,margate,51.3813,1.3862,20.39,60,22,4.02,GB,1693047876
34,mangai,-4.05,19.5333,37.64,30,64,1.52,CD,1693047876
35,nemuro,43.3236,145.575,20.01,97,65,5.99,JP,1693047216
